booth,remote,station,line_name,division,station_id,station_id_2,station_id_3,station_name,complex_id,complex_name,prior_remotes,prior_station_names,poe_loc,omny_id,booth_status,tracked_as,location
A002,R051,59 ST,NQR456W,BMT,7,,,Lexington Av/59 St,613,Lexington Av / 59 St,,LEXINGTON AVE,,70,,,3rd Ave
A003A,R051,59 ST,NQR456W,BMT,7,,,Lexington Av/59 St,613,Lexington Av / 59 St,,,,,Closed,,Lexington Ave NE cnr
A004,R050,59 ST,NQR456W,BMT,7,,,Lexington Av/59 St,613,Lexington Av / 59 St,,,,,,R244,Lexington Ave NW cnr
A006,R079,5 AV/59 ST,NQRW,BMT,8,,,5 Av/59 St,8,,,"5 AV,5 AVE-59 ST",,,,,5th Ave
A007,R079,5 AV/59 ST,NQRW,BMT,8,,,5 Av/59 St,8,,,"5 AV,5 AVE-59 ST",,,,,5th-6th Aves
A010,R080,57 ST-7 AV,NQRW,BMT,9,,,57 St-7 Av,9,,,57 ST-7 AVE,,674,,,W 57th St
A011,R080,57 ST-7 AV,NQRW,BMT,9,,,57 St-7 Av,9,,,57 ST-7 AVE,,675,,,W 55th St
A013,R081,49 ST,NQRW,BMT,10,,,49 St,10,,,"49 ST-7 AV,49 ST-7 AVE",,676,,,N/B W 49th St
A014,R081,49 ST,NQRW,BMT,10,,,49 St,10,,,"49 ST-7 AV,49 ST-7 AVE",,677,Closed,,N/B W 47th St
A015,R081,49 ST,NQRW,BMT,10,,,49 St,10,,,"49 ST-7 AV,49 ST-7 AVE",,678,,,S/B W 49th St
A016,R081,49 ST,NQRW,BMT,10,,,49 St,10,,,"49 ST-7 AV,49 ST-7 AVE",,679,,,S/B W 47th St
A017,R033,TIMES SQ-42 ST,ACENQRS1237W,BMT,11,468,317,Times Sq-42 St,611,Times Sq - 42 St / Port Authority Bus Terminal,,,,,Closed,,W 42nd St SW cnr
A021,R032,TIMES SQ-42 ST,ACENQRS1237W,BMT,11,,,Times Sq-42 St,611,Times Sq - 42 St / Port Authority Bus Terminal,,"42 ST - TIMES S,42 ST-TIMES SQ",,403,,,W 40th St
A022,R022,34 ST-HERALD SQ,BDFMNQRW,BMT,12,227,,34 St-Herald Sq,607,34 St - Herald Sq,,34 STREET,,,,,W 34th St E/S
A022A,R022,34 ST-HERALD SQ,BDFMNQRW,BMT,12,227,,34 St-Herald Sq,607,34 St - Herald Sq,,,,,,A022,W 34th-35th Sts E/S
A025,R023,34 ST-HERALD SQ,BDFMNQRW,BMT,12,,,34 St-Herald Sq,607,34 St - Herald Sq,,34 STREET,,511,,,W 32nd St
A026,R082,28 ST,NRW,BMT,13,,,28 St,13,,,,,,Closed,,N/B W 29th St
